District,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
0.0,127,1.0,9000000.0,35.0,17.0,10.0,5.09102179655,4.0,1.0,1.0,1.0,1.0,16.0,21.0,0.0
0.0,128,2.0,9000000.0,54.0,34.0,nan,3.47063448955,3.0,1.0,0.0,0.0,0.0,4.0,6.0,0.0
0.0,129,2.0,9000000.0,52.0,40.0,7.0,3.87037610391,8.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0
0.0,130,1.0,9000000.0,31.0,18.0,5.0,3.33051038897,11.0,1.0,0.0,0.0,1.0,3.0,9.0,0.0
0.0,131,1.0,9000000.0,33.0,17.0,7.0,3.12611372756,4.0,1.0,0.0,1.0,0.0,4.0,12.0,0.0
0.0,132,1.0,9000000.0,38.0,19.0,8.0,5.10555240596,10.0,1.0,0.0,0.0,1.0,13.0,17.0,0.0
0.0,133,1.0,9000000.0,40.0,20.0,10.0,5.02630817277,7.0,1.0,0.0,1.0,0.0,1.0,12.0,0.0
0.0,134,1.0,9000000.0,31.6,21.3,5.1,4.34474355441,3.0,1.0,0.0,0.0,1.0,5.0,9.0,0.0
0.0,135,2.0,9000000.0,48.0,31.0,7.2,3.97047565029,7.0,1.0,0.0,1.0,1.0,7.0,12.0,0.0
0.0,136,1.0,9000000.0,36.7,16.0,10.1,3.98654622547,5.0,1.0,1.0,1.0,0.0,1.0,16.0,0.0
0.0,137,1.0,9000000.0,36.7,16.0,10.1,3.98654622547,9.0,1.0,1.0,1.0,0.0,1.0,16.0,0.0
0.0,138,1.0,9069305.0,53.6,53.6,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,4.0,nan,1.0
0.0,139,1.0,9100000.0,38.0,19.1,10.0,3.55881832619,9.0,1.0,0.0,1.0,1.0,12.0,16.0,0.0
0.0,140,2.0,140670000.0,104.2,83.0,20.0,2.07082199851,7.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0
0.0,141,2.0,33625841.0,68.9,nan,nan,6.38108975795,4.0,1.0,0.0,0.0,0.0,20.0,85.0,1.0
0.0,142,4.0,55000000.0,100.4,65.0,nan,1.67359077524,nan,nan,0.0,0.0,0.0,2.0,8.0,0.0
0.0,143,2.0,9117548.0,53.3,53.3,nan,4.90788360618,5.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0
0.0,144,1.0,9199000.0,34.2,19.0,9.7,2.35594288991,5.0,1.0,0.0,1.0,1.0,16.0,16.0,0.0
0.0,145,1.0,9200000.0,38.0,19.0,8.0,5.37563441134,11.0,1.0,0.0,1.0,1.0,9.0,17.0,0.0
0.0,146,1.0,9200000.0,43.0,21.4,11.3,5.6822920523,10.0,1.0,1.0,0.0,1.0,23.0,25.0,0.0
0.0,147,2.0,9200000.0,44.0,29.0,6.0,2.74629520713,6.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
0.0,148,2.0,9300000.0,42.0,27.0,5.0,7.40937289088,7.0,1.0,1.0,1.0,1.0,8.0,9.0,0.0
0.0,149,1.0,9300000.0,31.0,18.0,nan,3.51496669727,10.0,1.0,1.0,1.0,0.0,9.0,9.0,0.0
0.0,150,1.0,9342300.0,44.7,nan,nan,4.46400615034,5.0,1.0,1.0,0.0,0.0,8.0,39.0,1.0
0.0,151,1.0,9356608.0,42.6,42.6,nan,4.9250390096,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0
0.0,152,2.0,9390000.0,37.0,22.0,nan,5.30952964831,2.0,1.0,0.0,1.0,0.0,1.0,9.0,0.0
0.0,153,1.0,9395149.0,41.2,41.2,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,4.0,nan,1.0
0.0,154,1.0,9432900.0,44.6,nan,nan,4.46400615034,5.0,1.0,1.0,0.0,0.0,7.0,39.0,1.0
0.0,155,1.0,9450000.0,37.0,19.0,9.0,2.35594288991,9.0,1.0,0.0,0.0,1.0,12.0,16.0,0.0
0.0,156,1.0,9500000.0,30.0,18.0,6.0,2.58051100374,4.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0
0.0,157,2.0,9500000.0,45.0,29.0,6.8,4.14664030367,15.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0
0.0,158,1.0,9500000.0,40.0,21.0,9.0,3.75148973514,7.0,0.0,1.0,0.0,0.0,5.0,13.0,0.0
0.0,159,2.0,9500000.0,39.5,22.2,7.5,5.02630817277,5.0,1.0,0.0,1.0,1.0,11.0,12.0,0.0
0.0,160,1.0,9500000.0,38.5,20.0,10.0,4.68910706703,5.0,1.0,0.0,0.0,0.0,6.0,18.0,0.0
0.0,161,2.0,9500000.0,43.0,29.0,6.0,3.63996136968,9.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0
0.0,162,1.0,9500000.0,35.2,20.0,9.6,3.88164163671,9.0,1.0,0.0,1.0,1.0,5.0,12.0,0.0
0.0,163,2.0,9500000.0,39.0,27.0,nan,3.47063448955,5.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0
0.0,164,2.0,9700000.0,50.0,30.0,7.0,7.02594980795,11.0,1.0,1.0,0.0,1.0,1.0,14.0,0.0
0.0,165,2.0,9700000.0,47.4,29.0,7.4,3.57294322342,7.0,1.0,0.0,1.0,1.0,2.0,12.0,0.0
0.0,166,2.0,9700000.0,38.0,32.0,6.0,4.16964417837,11.0,1.0,0.0,1.0,1.0,3.0,17.0,0.0
0.0,167,2.0,9768439.0,46.2,46.2,nan,4.9250390096,5.0,1.0,1.0,0.0,0.0,5.0,6.0,0.0
0.0,168,5.0,125000000.0,162.0,129.0,nan,4.56425189307,5.0,1.0,1.0,1.0,1.0,5.0,11.0,0.0
0.0,169,1.0,19500000.0,55.0,37.0,8.0,2.88119016147,3.0,1.0,0.0,0.0,0.0,1.0,30.0,0.0
0.0,170,2.0,11900000.0,45.8,23.4,7.2,3.36486142718,4.0,1.0,1.0,0.0,1.0,1.0,9.0,0.0
0.0,171,1.0,9769141.0,44.5,nan,nan,4.87975110823,9.0,1.0,1.0,0.0,0.0,2.0,6.0,1.0
0.0,172,1.0,9792900.0,41.0,30.0,nan,3.64845671747,9.0,1.0,1.0,0.0,1.0,5.0,18.0,1.0
0.0,173,3.0,9800000.0,58.0,42.0,5.5,7.5445693529,8.0,1.0,1.0,1.0,1.0,6.0,9.0,0.0
0.0,174,1.0,9800000.0,60.0,45.0,10.0,4.87975110823,5.0,1.0,1.0,0.0,1.0,3.0,5.0,0.0
0.0,175,1.0,9822900.0,41.1,20.2,nan,3.64845671747,9.0,1.0,1.0,0.0,1.0,4.0,13.0,1.0
0.0,176,2.0,9850000.0,55.0,32.0,8.0,4.26672312174,3.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0
0.0,177,1.0,9865843.0,45.9,45.9,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,1.0,nan,1.0
0.0,178,3.0,9886025.0,59.1,59.1,nan,4.90788360618,5.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0
0.0,179,1.0,9900000.0,30.0,15.0,8.0,3.12153681251,7.0,1.0,0.0,0.0,0.0,7.0,8.0,0.0
0.0,180,2.0,9900000.0,43.0,28.0,8.0,6.17107116991,12.0,1.0,1.0,1.0,1.0,8.0,9.0,0.0
0.0,181,2.0,9900000.0,49.0,32.0,8.0,3.97047565029,12.0,1.0,0.0,0.0,1.0,7.0,12.0,0.0
0.0,182,1.0,9900000.0,38.0,19.5,9.1,3.1083555317,3.0,1.0,1.0,0.0,1.0,10.0,14.0,0.0
0.0,183,2.0,9900000.0,42.6,28.6,5.5,4.26220885138,10.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0
0.0,184,2.0,9930382.0,46.2,46.2,nan,4.9250390096,5.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0
0.0,185,2.0,9950000.0,40.0,27.0,5.0,3.43408261877,10.0,1.0,1.0,0.0,0.0,1.0,8.0,0.0
0.0,186,1.0,9990000.0,35.0,20.0,10.0,3.05512832447,12.0,1.0,0.0,0.0,1.0,5.0,8.0,0.0
0.0,187,2.0,10000000.0,33.0,24.0,4.0,2.32099806402,4.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0
0.0,188,1.0,10000000.0,33.9,18.0,9.0,4.30908830909,11.0,1.0,1.0,0.0,1.0,9.0,9.0,0.0
0.0,189,2.0,10000000.0,40.0,28.0,6.0,6.22483142059,12.0,1.0,0.0,1.0,1.0,3.0,12.0,0.0
0.0,190,2.0,10000000.0,45.0,27.0,7.0,4.60053392555,10.0,1.0,0.0,1.0,1.0,10.0,12.0,0.0
0.0,191,2.0,10000000.0,46.0,30.0,6.0,6.06203541901,10.0,1.0,0.0,1.0,1.0,7.0,9.0,0.0
0.0,192,2.0,10000000.0,41.0,25.1,6.1,3.48583292863,11.0,1.0,1.0,0.0,0.0,1.0,8.0,0.0
0.0,193,1.0,10000000.0,34.8,19.9,9.7,5.47995813753,3.0,1.0,0.0,1.0,0.0,2.0,12.0,0.0
0.0,194,2.0,10000000.0,46.0,30.0,7.8,4.10476613387,8.0,1.0,1.0,1.0,1.0,3.0,8.0,0.0
0.0,195,1.0,9999999.0,35.1,20.0,10.0,7.35290614231,10.0,1.0,0.0,1.0,1.0,9.0,12.0,0.0
0.0,196,5.0,96554000.0,213.7,114.8,15.8,3.10520908635,5.0,1.0,1.0,0.0,1.0,4.0,4.0,0.0
0.0,197,3.0,87872186.0,163.0,116.3,20.7,2.52749712926,9.0,1.0,1.0,0.0,1.0,4.0,10.0,0.0
0.0,198,4.0,149000000.0,181.0,75.0,25.0,4.22393199305,10.0,1.0,1.0,1.0,1.0,4.0,6.0,0.0
0.0,199,2.0,10000000.0,41.5,28.2,5.1,4.20927016513,3.0,1.0,1.0,1.0,1.0,9.0,9.0,0.0
0.0,200,3.0,10004800.0,69.9,53.2,nan,5.38117024967,nan,nan,1.0,0.0,0.0,16.0,19.0,1.0
0.0,201,1.0,10100000.0,32.0,19.0,6.0,2.93629489002,6.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0
0.0,202,2.0,10100000.0,52.0,31.0,10.0,4.90733188656,nan,nan,0.0,0.0,0.0,7.0,12.0,0.0
0.0,203,2.0,10200000.0,44.6,32.0,7.0,2.8079334399,10.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0
0.0,204,2.0,10200000.0,44.6,32.0,7.0,2.8079334399,11.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0
